CID,Capítulo,Descrição,Codigo
sem_cid,Não se aplica,Não se aplica,sem_cid - Não se aplica
0,Algumas doenças infecciosas e parasitárias,Motivo não declarado,0 - Motivo não declarado
A00,Algumas doenças infecciosas e parasitárias,Cólera,A00 - Cólera
A000,Algumas doenças infecciosas e parasitárias,"Cólera devida a Vibrio cholerae 01, biótipo cholerae","A000 - Cólera devida a Vibrio cholerae 01, biótipo cholerae"
A001,Algumas doenças infecciosas e parasitárias,"Cólera devida a Vibrio cholerae 01, biótipo El Tor","A001 - Cólera devida a Vibrio cholerae 01, biótipo El Tor"
A009,Algumas doenças infecciosas e parasitárias,Cólera não especificada,A009 - Cólera não especificada
A01,Algumas doenças infecciosas e parasitárias,Febres tifóide e paratifóide,A01 - Febres tifóide e paratifóide
A010,Algumas doenças infecciosas e parasitárias,Febre tifóide,A010 - Febre tifóide
A011,Algumas doenças infecciosas e parasitárias,Febre paratifóide A,A011 - Febre paratifóide A
A012,Algumas doenças infecciosas e parasitárias,Febre paratifóide B,A012 - Febre paratifóide B
A013,Algumas doenças infecciosas e parasitárias,Febre paratifóide C,A013 - Febre paratifóide C
A014,Algumas doenças infecciosas e parasitárias,Febre paratifóide não especificada,A014 - Febre paratifóide não especificada
A02,Algumas doenças infecciosas e parasitárias,Outras infecções por Salmonella,A02 - Outras infecções por Salmonella
A020,Algumas doenças infecciosas e parasitárias,Enterite por salmonela,A020 - Enterite por salmonela
A021,Algumas doenças infecciosas e parasitárias,Septicemia por salmonela,A021 - Septicemia por salmonela
A022,Algumas doenças infecciosas e parasitárias,Infecções localizadas por salmonela,A022 - Infecções localizadas por salmonela
A028,Algumas doenças infecciosas e parasitárias,Outras infecções especificadas por salmonela,A028 - Outras infecções especificadas por salmonela
A029,Algumas doenças infecciosas e parasitárias,Infecção não especificada por salmonela,A029 - Infecção não especificada por salmonela
A03,Algumas doenças infecciosas e parasitárias,Shiguelose,A03 - Shiguelose
A030,Algumas doenças infecciosas e parasitárias,Shiguelose devida a Shigella dysenteriae,A030 - Shiguelose devida a Shigella dysenteriae
A031,Algumas doenças infecciosas e parasitárias,Shiguelose devida a Shigella flexneri,A031 - Shiguelose devida a Shigella flexneri
A032,Algumas doenças infecciosas e parasitárias,Shiguelose devida a Shigella boydii,A032 - Shiguelose devida a Shigella boydii
A033,Algumas doenças infecciosas e parasitárias,Shiguelose devida a Shigella sonnei,A033 - Shiguelose devida a Shigella sonnei
A038,Algumas doenças infecciosas e parasitárias,Outras shigueloses,A038 - Outras shigueloses
A039,Algumas doenças infecciosas e parasitárias,Shiguelose não especificada,A039 - Shiguelose não especificada
A04,Algumas doenças infecciosas e parasitárias,Outras infecções intestinais bacterianas,A04 - Outras infecções intestinais bacterianas
A040,Algumas doenças infecciosas e parasitárias,Infecção por Escherichia coli enteropatogênica,A040 - Infecção por Escherichia coli enteropatogênica
A041,Algumas doenças infecciosas e parasitárias,Infecção por Escherichia coli enterotoxigênica,A041 - Infecção por Escherichia coli enterotoxigênica
A042,Algumas doenças infecciosas e parasitárias,Infecção por Escherichia coli enteroinvasiva,A042 - Infecção por Escherichia coli enteroinvasiva
A043,Algumas doenças infecciosas e parasitárias,Infecção por Escherichia coli enterohemorrágica,A043 - Infecção por Escherichia coli enterohemorrágica
A044,Algumas doenças infecciosas e parasitárias,Outras infecções intestinais por Escherichia coli,A044 - Outras infecções intestinais por Escherichia coli
A045,Algumas doenças infecciosas e parasitárias,Enterite por Campylobacter,A045 - Enterite por Campylobacter
A046,Algumas doenças infecciosas e parasitárias,Enterite devida a Yersinia enterocolítica,A046 - Enterite devida a Yersinia enterocolítica
A047,Algumas doenças infecciosas e parasitárias,Enterocolite devida a Clostridium difficile,A047 - Enterocolite devida a Clostridium difficile
A048,Algumas doenças infecciosas e parasitárias,Outras infecções bacterianas intestinais especificadas,A048 - Outras infecções bacterianas intestinais especificadas
A049,Algumas doenças infecciosas e parasitárias,Infecção intestinal bacteriana não especificada,A049 - Infecção intestinal bacteriana não especificada
A05,Algumas doenças infecciosas e parasitárias,"Outras intoxicações alimentares bacterianas, não classificadas em outra parte","A05 - Outras intoxicações alimentares bacterianas, não classificadas em outra parte"
A050,Algumas doenças infecciosas e parasitárias,Intoxicação alimentar estafilocócica,A050 - Intoxicação alimentar estafilocócica
A051,Algumas doenças infecciosas e parasitárias,Botulismo,A051 - Botulismo
A052,Algumas doenças infecciosas e parasitárias,Intoxicação alimentar devida a Clostridium perfringens [Clostridium welchii],A052 - Intoxicação alimentar devida a Clostridium perfringens [Clostridium welchii]
A053,Algumas doenças infecciosas e parasitárias,Intoxicação alimentar devida a Vibrio parahemolyticus,A053 - Intoxicação alimentar devida a Vibrio parahemolyticus
A054,Algumas doenças infecciosas e parasitárias,Intoxicação alimentar devida a Bacillus cereus,A054 - Intoxicação alimentar devida a Bacillus cereus
A058,Algumas doenças infecciosas e parasitárias,Outras intoxicações alimentares bacterianas especificadas,A058 - Outras intoxicações alimentares bacterianas especificadas
A059,Algumas doenças infecciosas e parasitárias,Intoxicação alimentar bacteriana não especificada,A059 - Intoxicação alimentar bacteriana não especificada
A06,Algumas doenças infecciosas e parasitárias,Amebíase,A06 - Amebíase
A060,Algumas doenças infecciosas e parasitárias,Disenteria amebiana aguda,A060 - Disenteria amebiana aguda
A061,Algumas doenças infecciosas e parasitárias,Amebíase intestinal crônica,A061 - Amebíase intestinal crônica
A062,Algumas doenças infecciosas e parasitárias,Colite amebiana não,A062 - Colite amebiana não
A063,Algumas doenças infecciosas e parasitárias,Ameboma intestinal,A063 - Ameboma intestinal
A064,Algumas doenças infecciosas e parasitárias,Abscesso amebiano do fígado,A064 - Abscesso amebiano do fígado
A065,Algumas doenças infecciosas e parasitárias,Abscesso amebiano do pulmão,A065 - Abscesso amebiano do pulmão
A066,Algumas doenças infecciosas e parasitárias,Abscesso amebiano do cérebro,A066 - Abscesso amebiano do cérebro
A067,Algumas doenças infecciosas e parasitárias,Amebíase cutânea,A067 - Amebíase cutânea
